-1.7443,0,-0.34739,-0.73543,-5.3699,-7.0518,21.546,12.207,-2.0233,-3.2951,-214.29,22.44,-39.295,-93.88,-5.5344,0.56708
-1.1951,-1.1102e-16,-1.4248,-1.0619,-1.5399,-7.8037,5.4114,3.9115,-1.1656,-5.547,-14.36,4.8737,-9.4136,-8.1298,-0.35533,0.69818
-5.3894,1.1102e-16,-1.3364,-0.14091,0.2333,-2.0632,3.3185,3.6245,-0.50294,-2.7428,-9.0749,3.408,-8.0781,-3.4703,-521.63,3.3045
-1.8712,-4.4409e-16,1.2516,-4.2621,-6.2269,-9.6411,5.7771,6.3687,-4.9898,-14.303,-12.856,9.7032,-25.694,-1.5588,-2.2707,0.83912
-32.807,-8.8818e-16,-1.1947,-2.0813,-13.35,-17.928,27.644,102.88,-61.224,-68.548,-2713.1,165.7,-37.642,-1.6447,-20.259,0.98213
-1.2215,0,-3.1385,-5.1524,1.0684,-4.7153,3.184,3.4896,-0.3993,-3.8889,-5.543,10.054,-63.366,-5.9325,-1.684,0.42578
-3.0902,-4.4409e-16,-1.8879,-2.8849,0.16351,-3.0487,2.7187,9.9733,-20.644,-27.75,-27.811,11.248,-10.481,-2.4097,-5.0932,0.49462
-2.0635,-2.2204e-16,5.5066,-2.0115,-40.241,-40.556,18.457,2.3308,-0.21559,-2.9484,-20.173,25.061,-37.48,-13.487,-52.212,0.80958
-2.5398,9.992e-16,-5.3142,1.0295,1.2898,-6.1121,4.8991,6.2484,-1.6461,-13.398,-47.383,7.6374,-6.0487,-35.564,-3.3712,1.572
-281.31,-7.7716e-16,-2.5613,-1.8714,-1.5662,-4.5097,6.5536,6.7721,-0.087085,-4.8896,-93.434,17.143,-17.215,-2.7798,-26.93,2.5583
-174.16,6.6613e-16,-1.0149,-0.46285,-1.0896,-2.3497,3.5538,4.1654,-1.99,-3.9611,-31.046,6.3837,-5.6688,-1.2091,-1.6027,0.391
-1.4417e+05,-4.4409e-16,-2.0054,-1.779,0.37772,-0.67339,2.9453,3.9293,0.05308,-2.2076,-4.8698,6.1317,-32.734,-7.8351,-45.567,1.9836
-3.2573,8.8818e-16,-3.0238,-3.2127,1.0769,-2.3272,1.2042,2.2026,-1.4598,-1.44,-4.1228,2.9522,-5.6111,-150.97,-1.216,0.46207
-29.861,5.5511e-16,0.39486,-1.9852,-2.2101,-13.257,4.2652,3.5624,-0.52201,-8.118,-9.4586,4.0958,-4.147,-593.68,-0.77313,0.47468
-12.2,0,-5.1488,-5.5109,3.2862,-26.827,7.9944,7.3721,-3.2483,-5.428,-53.831,8.5799,-11.275,-366.82,-31.007,5.712
-7.7796,1.3323e-15,-27.635,10.557,30.368,-660.97,3.8908,3.9255,-5.7481,-252.48,-10.917,3.6951,-3.5513,-1.3501,-2.4499,0.76304
-16.115,2.2204e-16,-6.3289,-3.9966,1.2,-4.054,3.2191,3.5783,-1.0148,-1.2642,-31.126,10.323,-6.4439,-2.5395,-1.1137,0.34444
-2.9967,3.3307e-16,-1.6119,-0.13293,-7.0872,-12.754,18.628,21.685,-13.546,-18.938,-149.59,34.829,-81.246,-1.3169,-0.21659,0.79318
-18.905,8.8818e-16,-3.2446,-5.0839,-0.54901,-4.3284,3.3409,3.9511,-0.79608,-4.7629,-18.66,7.8496,-18.073,-1.3385,-1.2341,1.0883
-1.4432,3.3307e-16,-0.64905,-1.9525,-1.225,-2.5489,5.0811,2.6377,0.13731,-3.4772,-13.981,4.7466,-6.0912,-5.251,-209.07,7.7195
-3.0369,0,0.017218,-4.9591,-17.396,-24.667,15.56,11.585,-8.2328,-10.686,-452.07,36.432,-8.1058,-1.6642,-17.535,0.87705
-405.55,1.3323e-15,1.0573,-1.7915,-295.53,-302.67,308.47,143.6,-186.86,-193.74,-29694,1150.2,-150.94,-46.762,-3180.6,1.3361
-206,-2.6645e-15,-11.04,-12.95,-1.0477,-1.5433,5.924,12.818,-3.5144,-16.254,-169.02,22.211,-7.3207,-1.5236,-5.224,0.64795
